Title,Brand,Reviews,Rating,Selling Price,Image URL,Product URL
Storio Toy Octopus Plushie Reversible Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls| Best Gift | Octopus Soft Toy for Kids -PurplePink,"1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/51nqXz7iWrL._AC_UL320_.jpg,N/A
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 Cm, Yellow)","4,737",4737,4.1,N/A,https://m.media-amazon.com/images/I/51AWNa6+TOL._AC_UL320_.jpg,N/A
"Babique Elephant Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Blue, 30 cm)","2,646",2646,4.2,N/A,https://m.media-amazon.com/images/I/71sh-Yt3EmL._AC_UL320_.jpg,N/A
Babique Dog Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls White (25 cm),"2,646",2646,4.2,N/A,https://m.media-amazon.com/images/I/51h6wRH0lpL._AC_UL320_.jpg,N/A
Babique Cat Flower Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(25 cm),"1,229",1229,4.0,N/A,https://m.media-amazon.com/images/I/61QnIuUiOgL._AC_UL320_.jpg,N/A
Storio Toy Plushie Super Soft Toys for Kids | Adorable Plush Soft Toys for Baby Boys and Girls Kids - Penguine Black & White,"1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,N/A
Amazon Brand - Jam & Honey Soft Penguin Plush Toy for Kids | Soft Toy for Boys and Girls | Super-Soft and Safe| Ideal for Gifting | Height 17 cm | Black and White,"13,328",13328,4.4,N/A,https://m.media-amazon.com/images/I/61A2ddWFQxL._AC_UL320_.jpg,N/A
"Niku Rabbit with Chain Reversible Bunny Rabbit Soft Stuffed Toys for Girls Boys Baby Kids | Doll, Teddy Bear plushies, Animal Toy | Strawberry/Carrot Shaped Pink Colour | Valentine's Gift",689,689,4.1,N/A,https://m.media-amazon.com/images/I/613ls1KV-HL._AC_UL320_.jpg,N/A
"Storio Plushie Flying Unicorn | Soft Toys | Birthday Gift for Girls/Wife, Boyfriend/Husband, Soft Toys for Girls, Baby Toys - Sleeping Unicorn","1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/514auBIWNpL._AC_UL320_.jpg,N/A
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink)","9,385",9385,4.2,N/A,https://m.media-amazon.com/images/I/51C5TrSt-GL._AC_UL320_.jpg,N/A
Storio Toy Super Cute Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids -Reversible Rabbit | Best Valentine Gift,"1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/51XjmK41FjL._AC_UL320_.jpg,N/A
SCOOBA Baby Penguin Soft Toy 25 cm (Strawberry),693,693,4.3,N/A,https://m.media-amazon.com/images/I/51Tj8KMIlvL._AC_UL320_.jpg,N/A
"Hug 'n' Feel Baby Penguin Soft Toy (25 cm) – Cute & Cuddly Random Color Plush Penguin for Kids & Babies – Ideal Gift for Newborns, Toddlers & Children – Perfect for Hugging, Snuggling & Playtime","34,269",34269,4.0,N/A,https://m.media-amazon.com/images/I/511I9BYWonL._AC_UL320_.jpg,N/A
Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 Cm),"2,335",2335,4.2,N/A,https://m.media-amazon.com/images/I/61val7qNvyL._AC_UL320_.jpg,N/A
Babique Nemo Fish Toy Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls -Orange (25 cm),"2,646",2646,4.2,N/A,https://m.media-amazon.com/images/I/511vEf27jFL._AC_UL320_.jpg,N/A
"Niku Doll (30cm, Pink) | Soft Plush Doll Toy with Rabbit Ear, Teddy Bear, Best Gift Toy and Pillow for Kids, Girls and Adults | Valentines",689,689,4.1,N/A,https://m.media-amazon.com/images/I/51iaZJwi7yL._AC_UL320_.jpg,N/A
SCOOBA Super Soft 30cm Small White Color Cow Soft Toy - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play,586,586,4.2,N/A,https://m.media-amazon.com/images/I/51y39ofWmfL._AC_UL320_.jpg,N/A
"Niku Penguin (Pink, 25cm) | Stuffed Soft Toy Teddy Bear for Girls, Boys and Kids, Safe, Return Birthday Gift for Girls Valentines",689,689,4.1,N/A,https://m.media-amazon.com/images/I/513TfTuul7L._AC_UL320_.jpg,N/A
"SCOOBA Soft Plush Elephant Toy, 30cm, Cute Stuffed Animal for Kids, Birthday, Baby Shower or Christmas Gift",27,27,3.6,N/A,https://m.media-amazon.com/images/I/51HERc9v1EL._AC_UL320_.jpg,N/A
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (28 Cm, Monkey)","3,440",3440,4.3,N/A,https://m.media-amazon.com/images/I/613HNieYoxL._AC_UL320_.jpg,N/A
Storio Toy Shark Plushie Reversible Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls| Best Gift | Shark Soft Toy for Kids,"1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/51HH07ObfkL._AC_UL320_.jpg,N/A
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (10 cm, Rattle Ball)","2,983",2983,3.9,N/A,https://m.media-amazon.com/images/I/61JLJWkVeQL._AC_UL320_.jpg,N/A
"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)",924,924,4.5,N/A,https://m.media-amazon.com/images/I/71A-WPv5q-L._AC_UL320_.jpg,N/A
"Babique Rabbit Plush Cute Rabbit Soft Toys Animal Home Decor Baby/Boys/Girls (Pink, 26 cm)",660,660,3.9,N/A,https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg,N/A
SCOOBA Super Soft Adorable cat Stuffed Toy Pack of 1 25cm,75,75,4.2,N/A,https://m.media-amazon.com/images/I/51UmNYyWxZL._AC_UL320_.jpg,N/A
Webby Plush Standing Giraffe Soft Toys for Kids 30 CM (Yellow),370,370,4.3,N/A,https://m.media-amazon.com/images/I/71e75GSCrKL._AC_UL320_.jpg,N/A
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)","13,328",13328,4.4,N/A,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg,N/A
Richy Toys White Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm,"4,610",4610,4.0,N/A,https://m.media-amazon.com/images/I/7173JXCs7YL._AC_UL320_.jpg,N/A
"Webby Soft Animal Plush Elephant Toy 20cm, Blue & Grey","5,898",5898,4.4,N/A,https://m.media-amazon.com/images/I/711DBUR31bS._AC_UL320_.jpg,N/A
"Future Shop Pack of 4 Panda, Squirrel, Griffe & Pink Dolphine. Best Soft Combo Toys Toy for Cute Kids Baby Boys/Girls Animal Stuffed Plush Toy Teddy Bear for Kids.",480,480,4.1,N/A,https://m.media-amazon.com/images/I/41CB-Bd3k3L._AC_UL320_.jpg,N/A
"HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Boys, Toy Gift for Girls, Kids Toys for Boys Girl, Toys Gift Items, (30cm, Pink)","34,269",34269,4.0,N/A,https://m.media-amazon.com/images/I/61junWYBK0L._AC_UL320_.jpg,N/A
"SIVIGE Blue Premium Soft Quality Lovable Huggable Soft Toy, Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls&Boys for Valentine Special 30 CM",56,56,4.1,N/A,https://m.media-amazon.com/images/I/81I9nN02ajL._AC_UL320_.jpg,N/A
"Storio Soft Animal Plush Elephant Toy 20cm, Grey and Blue","1,676",1676,4.2,N/A,https://m.media-amazon.com/images/I/617Qg3fOvQL._AC_UL320_.jpg,N/A
SCOOBA Soft Cute Bella Doll 50cm - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play - 100% Safe for Kids,198,198,3.9,N/A,https://m.media-amazon.com/images/I/61kx5wblTfL._AC_UL320_.jpg,N/A
SCOOBA Super Soft Korean Quality Frock Dress Rabbit 35cm Pack of 1,56,56,3.5,N/A,https://m.media-amazon.com/images/I/51pu0-snHbL._AC_UL320_.jpg,N/A
SCOOBA Penguin Soft Toy 20 cm (Purple Penguin with Scarf),693,693,4.3,N/A,https://m.media-amazon.com/images/I/31IiUwflKYL._AC_UL320_.jpg,N/A
"Babique Panda Bamboo Stuffed Animals Plush Toy, Bamboo Tube Panda Pillow Stuffed Panda Bear Plushies Panda Doll Gifts for Boys Girls",629,629,4.3,N/A,https://m.media-amazon.com/images/I/71TkK-21reL._AC_UL320_.jpg,N/A
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (35cm, Avocado)","34,269",34269,4.0,N/A,https://m.media-amazon.com/images/I/41DX4usBUXL._AC_UL320_.jpg,N/A
Richy Toys White Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm,"4,610",4610,4.0,N/A,https://m.media-amazon.com/images/I/61F+bzs8OKL._AC_UL320_.jpg,N/A
Babique Reversible plushie Cat Stuffed Soft Toy Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (Blue 15cm),228,228,3.6,N/A,https://m.media-amazon.com/images/I/71eS3uYJIPL._AC_UL320_.jpg,N/A
"DearJoy Big Size Fibre Filled Stuffed Animal Elephant Soft Toy for Kids of Plush Hugging Soft Toy for Kids boy Girl Birthday Gift (60 cm, Grey Color)","9,022",9022,4.3,N/A,https://m.media-amazon.com/images/I/81S00b+-XML._AC_UL320_.jpg,N/A
"pikipo Bunny Face Rattle Soft Toy(Plush) for Baby with Squeeze Handle for Squeaky Sound (Pink), Toddler",852,852,4.4,N/A,https://m.media-amazon.com/images/I/51V5R1Xk-cL._AC_UL320_.jpg,N/A
SCOOBA Baby Polar Bear Soft Toy 22 cm (Polar Bear),693,693,4.3,N/A,https://m.media-amazon.com/images/I/31Ed05RGVqL._AC_UL320_.jpg,N/A
Babique Cute Pink Rabbit soft Toys 26 cm (pink),839,839,4.1,N/A,https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg,N/A
"SCOOBA Super Soft Police Teddy Soft Toy, 25 cm Small, Pack of 1",6,6,3.3,N/A,https://m.media-amazon.com/images/I/51McnqIyT6L._AC_UL320_.jpg,N/A
SCOOBA Baby Penguin Soft Toy 25 cm,693,693,4.3,N/A,https://m.media-amazon.com/images/I/51+1Bx773wL._AC_UL320_.jpg,N/A
Storio Toy Cute Cow Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls | Animal Soft Toy for Kids -27 cm,258,258,4.4,N/A,https://m.media-amazon.com/images/I/61DJpNH8TGL._AC_UL320_.jpg,N/A
Storio Rechargeable Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You Say Funny Education Toys for Children Playing Home Decor for Kids,"5,925",5925,3.7,N/A,https://m.media-amazon.com/images/I/61YVpEBCUhL._AC_UL320_.jpg,N/A
